date,trade_code,high,low,open,close,volume
2020-08-10,1JANATAMF,4.3,4.1,4.2,4.1,"2,285,416"
2020-08-09,1JANATAMF,4.3,4.1,4.1,4.2,"1,292,933"
2020-08-06,1JANATAMF,4.2,4.1,4.1,4.1,"2,653,824"
2020-08-05,1JANATAMF,4.1,4.1,4.1,4.1,"360,439"
2020-08-04,1JANATAMF,4.1,4.1,4.1,4.1,"15,217"
2020-08-03,1JANATAMF,4.1,4.1,4.1,4.1,"26,205"
2020-07-30,1JANATAMF,4.1,4.1,4.1,4.1,"3,737"
2020-07-29,1JANATAMF,4.1,4.1,4.1,4.1,"1,803"
2020-07-28,1JANATAMF,4.1,4.1,4.1,4.1,1
2020-07-27,1JANATAMF,4.1,4.1,4.1,4.1,775
2020-07-26,1JANATAMF,4.1,4.1,4.1,4.1,"3,100"
2020-07-23,1JANATAMF,4.1,4.1,4.1,4.1,"10,053"
2020-07-22,1JANATAMF,0,0,0,4.1,0
2020-07-21,1JANATAMF,4.1,4.1,4.1,4.1,"13,100"
2020-07-20,1JANATAMF,4.1,4.1,4.1,4.1,460
2020-07-19,1JANATAMF,4.1,4.1,4.1,4.1,760
2020-07-16,1JANATAMF,4.1,4.1,4.1,4.1,500
2020-07-15,1JANATAMF,4.1,4.1,4.1,4.1,"18,276"
2020-07-14,1JANATAMF,4.1,4.1,4.1,4.1,"3,330"
2020-07-13,1JANATAMF,4.1,4.1,4.1,4.1,"6,088"
2020-07-12,1JANATAMF,4.1,4.1,4.1,4.1,"28,600"
2020-07-09,1JANATAMF,4.1,4.1,4.1,4.1,"30,075"
2020-07-08,1JANATAMF,4.1,4.1,4.1,4.1,"1,255"
2020-07-07,1JANATAMF,4.1,4.1,4.1,4.1,"21,005"
2020-07-06,1JANATAMF,4.1,4.1,4.1,4.1,"66,485"
2020-07-05,1JANATAMF,4.1,4.1,4.1,4.1,"1,500"
2020-07-02,1JANATAMF,0,0,0,4.1,0
2020-08-10,1STPRIMFMF,16,15.1,15.4,15.2,"1,286,049"
2020-08-09,1STPRIMFMF,15.8,14.4,14.7,15.2,"1,949,695"
2020-08-06,1STPRIMFMF,15.7,14.3,14.7,14.7,"1,670,068"
2020-08-05,1STPRIMFMF,14.6,13.3,13.4,14.6,"2,055,153"
2020-08-04,1STPRIMFMF,13.5,13.2,13.4,13.3,"604,707"
2020-08-03,1STPRIMFMF,13.7,13.2,13.5,13.3,"712,403"
2020-07-30,1STPRIMFMF,13.7,13.2,13.2,13.4,"502,133"
2020-07-29,1STPRIMFMF,13.8,13.1,13.8,13.2,"637,044"
2020-07-28,1STPRIMFMF,14,13.1,13.5,13.8,"608,118"
2020-07-27,1STPRIMFMF,13.8,13.4,13.6,13.5,"711,374"
2020-07-26,1STPRIMFMF,14.1,13.5,14,13.8,"472,018"
2020-07-23,1STPRIMFMF,14.8,13.7,13.9,13.9,"851,252"
2020-07-22,1STPRIMFMF,14.3,13.7,14.2,13.9,"883,202"
2020-07-21,1STPRIMFMF,14,12.9,12.9,13.9,"1,661,389"
2020-07-20,1STPRIMFMF,13,12.5,12.5,12.8,"462,401"
2020-07-19,1STPRIMFMF,13.2,12.4,13.2,12.5,"401,452"
2020-07-16,1STPRIMFMF,13.5,13.1,13.5,13.1,"239,767"
2020-07-15,1STPRIMFMF,13.6,12.9,13,13.4,"308,142"
2020-07-14,1STPRIMFMF,13.4,12.8,13.1,12.9,"280,361"
2020-07-13,1STPRIMFMF,13.5,13,13.4,13.2,"478,960"
2020-07-12,1STPRIMFMF,13.8,13.1,13.5,13.3,"706,891"
2020-07-09,1STPRIMFMF,13.5,12.5,12.5,13.5,"758,711"
2020-07-08,1STPRIMFMF,12.4,12,12.3,12.3,"413,561"
2020-07-07,1STPRIMFMF,12.4,12.1,12.1,12.2,"239,990"
2020-07-06,1STPRIMFMF,12.2,11.9,12,12,"243,674"
2020-07-05,1STPRIMFMF,12.3,11.9,12.3,12,"247,495"
2020-07-02,1STPRIMFMF,12.2,12,12.1,12.2,"138,041"
2020-08-10,AAMRANET,39.5,37.9,38.6,38.8,"342,588"
2020-08-09,AAMRANET,38.8,37.9,38.4,38.5,"259,858"
2020-08-06,AAMRANET,38,34,37.2,37.6,"156,814"
2020-08-05,AAMRANET,38,36.9,38,37,"134,013"
2020-08-04,AAMRANET,39,37.4,39,37.7,"275,523"
2020-08-03,AAMRANET,38.8,37.9,38.4,38.5,"215,009"
2020-07-30,AAMRANET,38.6,35.7,38.5,37.6,"320,701"
2020-07-29,AAMRANET,39.8,37.8,38.4,38.5,"271,038"
2020-07-28,AAMRANET,38.4,36.1,36.3,38.1,"304,577"
2020-07-27,AAMRANET,37.2,36,36.8,36.3,"158,528"
2020-07-26,AAMRANET,37.1,35.5,36.3,36.8,"196,257"
2020-07-23,AAMRANET,36.1,34.7,35,35.9,"254,832"
2020-07-22,AAMRANET,35.5,34.2,34.3,35,"208,705"
2020-07-21,AAMRANET,34.3,33.4,33.5,34.1,"190,123"
2020-07-20,AAMRANET,34,33.2,33.2,33.4,"52,406"
2020-07-19,AAMRANET,33.2,33.2,33.2,33.2,"64,921"
2020-07-16,AAMRANET,33.5,33.2,33.3,33.3,"54,187"
2020-07-15,AAMRANET,33.5,33.2,33.4,33.3,"60,526"
2020-07-14,AAMRANET,34.9,33.2,33.9,33.4,"84,552"
2020-07-13,AAMRANET,35.5,33.8,35,33.9,"109,991"
2020-07-12,AAMRANET,35.5,34.6,35,35.1,"21,288"
2020-07-09,AAMRANET,35.3,33.5,33.5,35,"79,126"
2020-07-08,AAMRANET,35.4,33.2,33.2,33.3,"126,450"
2020-07-07,AAMRANET,33.2,33.2,33.2,33.2,"54,400"
2020-07-06,AAMRANET,33.2,33.2,33.2,33.2,94
2020-07-05,AAMRANET,33.2,33.2,33.2,33.2,300
2020-07-02,AAMRANET,33.2,33.2,33.2,33.2,"19,025"
2020-08-10,AAMRATECH,26.2,25.5,26.2,25.6,"72,269"
2020-08-09,AAMRATECH,26.4,25.4,26.2,26.2,"123,713"
2020-08-06,AAMRATECH,26,24.9,24.9,25.8,"137,456"
2020-08-05,AAMRATECH,25,24.5,24.8,24.9,"72,482"
2020-08-04,AAMRATECH,25.6,24.5,25.3,24.8,"87,772"
2020-08-03,AAMRATECH,25.6,24.7,25.5,25.3,"90,096"
2020-07-30,AAMRATECH,25.9,24.5,25,25.4,"216,512"
2020-07-29,AAMRATECH,25.2,24.1,24.1,25,"126,507"
2020-07-28,AAMRATECH,24,23.5,23.7,23.9,"68,336"
2020-07-27,AAMRATECH,23.8,23.4,23.4,23.5,"33,870"
2020-07-26,AAMRATECH,23.9,23.2,23.5,23.4,"51,325"
2020-07-23,AAMRATECH,23.7,23,23,23.5,"28,574"
2020-07-22,AAMRATECH,23.6,23,23.5,23.1,"33,754"
2020-07-21,AAMRATECH,23.1,23,23,23,"26,121"
2020-07-20,AAMRATECH,23,23,23,23,"12,726"
2020-07-19,AAMRATECH,23,23,23,23,6
2020-07-16,AAMRATECH,23,23,23,23,"7,085"
2020-07-15,AAMRATECH,23,23,23,23,"4,665"
2020-07-14,AAMRATECH,23,23,23,23,"2,990"
2020-07-13,AAMRATECH,23.4,23,23.1,23.1,"77,654"
2020-07-12,AAMRATECH,23.9,23,23.2,23.1,"22,209"
2020-07-09,AAMRATECH,23.8,23,23,23.1,"44,283"
2020-07-08,AAMRATECH,23,23,23,23,"3,325"
2020-07-07,AAMRATECH,23,23,23,23,170
2020-07-06,AAMRATECH,23,23,23,23,"10,500"
2020-07-05,AAMRATECH,23,23,23,23,"3,400"
2020-07-02,AAMRATECH,23,23,23,23,"2,005"
2020-08-10,ABB1STMF,4.4,4.2,4.4,4.2,"2,897,616"
2020-08-09,ABB1STMF,4.4,4.2,4.3,4.4,"236,476"
2020-08-06,ABB1STMF,4.3,4.2,4.2,4.2,"1,230,200"
2020-08-05,ABB1STMF,4.2,4.2,4.2,4.2,"1,314,565"
2020-08-04,ABB1STMF,4.2,4.2,4.2,4.2,"117,841"
2020-08-03,ABB1STMF,4.2,4.2,4.2,4.2,"162,938"
2020-07-30,ABB1STMF,4.2,4.2,4.2,4.2,"57,880"
2020-07-29,ABB1STMF,4.2,4.2,4.2,4.2,"338,611"
2020-07-28,ABB1STMF,4.3,4.2,4.2,4.2,"134,784"
2020-07-27,ABB1STMF,4.2,4.2,4.2,4.2,"66,160"
2020-07-26,ABB1STMF,4.2,4.2,4.2,4.2,"66,981"
2020-07-23,ABB1STMF,4.3,4.2,4.3,4.2,"126,210"
2020-07-22,ABB1STMF,4.3,4.2,4.2,4.2,"68,751"
2020-07-21,ABB1STMF,4.4,4.2,4.2,4.2,"85,813"
2020-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"63,666"
2020-07-19,ABB1STMF,4.2,4.2,4.2,4.2,"76,340"
2020-07-16,ABB1STMF,4.2,4.2,4.2,4.2,"78,806"
2020-07-15,ABB1STMF,4.2,4.2,4.2,4.2,"69,309"
2020-07-14,ABB1STMF,4.2,4.2,4.2,4.2,"47,792"
2020-07-13,ABB1STMF,4.2,4.2,4.2,4.2,"62,183"
2020-07-12,ABB1STMF,4.2,4.2,4.2,4.2,"63,937"
2020-07-09,ABB1STMF,4.2,4.2,4.2,4.2,"108,139"
2020-07-08,ABB1STMF,4.2,4.2,4.2,4.2,"67,014"
2020-07-07,ABB1STMF,4.2,4.2,4.2,4.2,"75,648"
2020-07-06,ABB1STMF,0,0,0,4.2,0
2020-07-05,ABB1STMF,4.2,4.2,4.2,4.2,55
2020-07-02,ABB1STMF,0,0,0,4.2,0
2020-08-10,ABBANK,0,0,0,8.2,0
2020-08-09,ABBANK,8.3,7.6,7.7,8.2,"2,317,549"
2020-08-06,ABBANK,7.8,7.4,7.5,7.7,"987,896"
2020-08-05,ABBANK,7.9,7.5,7.9,7.6,"1,090,726"
2020-08-04,ABBANK,8,7.6,7.6,7.8,"1,043,741"
2020-08-03,ABBANK,8,7.2,7.3,7.6,"1,168,318"
2020-07-30,ABBANK,7.3,7,7.1,7.3,"371,972"
2020-07-29,ABBANK,7.2,7,7.1,7.1,"443,726"
2020-07-28,ABBANK,7.2,7,7.1,7.1,"238,421"
2020-07-27,ABBANK,7.2,7,7,7.1,"283,201"
2020-07-26,ABBANK,7.1,6.9,7,7,"206,026"
2020-07-23,ABBANK,7,6.9,6.9,7,"48,080"
2020-07-22,ABBANK,7,6.8,6.9,6.9,"504,247"
2020-07-21,ABBANK,7.1,6.8,6.8,6.9,"280,801"
2020-07-20,ABBANK,7,6.8,6.9,6.9,"154,503"
2020-07-19,ABBANK,7,6.8,6.9,6.9,"228,753"
2020-07-16,ABBANK,7,6.8,6.9,6.9,"296,191"
2020-07-15,ABBANK,7.1,6.9,7,6.9,"264,428"
2020-07-14,ABBANK,7.1,6.9,7.1,7,"162,586"
2020-07-13,ABBANK,7.2,6.9,7.1,7,"413,990"
2020-07-12,ABBANK,7.3,7.1,7.3,7.2,"418,337"
2020-07-09,ABBANK,7.4,7.1,7.2,7.3,"300,516"
2020-07-08,ABBANK,7.2,6.9,6.9,7.2,"338,246"
2020-07-07,ABBANK,7.1,6.9,6.9,6.9,"407,874"
2020-07-06,ABBANK,7,6.8,6.8,6.9,"192,461"
2020-07-05,ABBANK,7.2,6.7,7.1,6.8,"917,556"
2020-07-02,ABBANK,7.3,6.8,6.8,7.2,"368,563"
2020-08-10,ACFL,23.9,22.3,23.3,23.2,"574,865"
2020-08-09,ACFL,23.3,21.8,21.8,23.3,"654,671"
2020-08-06,ACFL,21.2,19.2,19.5,21.2,"420,902"
2020-08-05,ACFL,20,19.1,19.8,19.3,"152,174"
2020-08-04,ACFL,20.4,19.7,19.8,19.9,"187,990"
2020-08-03,ACFL,20.3,19.6,20.1,19.8,"215,279"
2020-07-30,ACFL,20.6,19.2,19.2,20.1,"348,830"
2020-07-29,ACFL,19.4,18.6,18.6,19.2,"166,950"
2020-07-28,ACFL,19,18.6,18.7,18.6,"56,412"
2020-07-27,ACFL,19,18.6,18.6,18.7,"92,313"
